user,tag,attempts,solved,corpus_count,solve_rate,coverage,strength_score,weakness_score,is_weak
-1e11,fft,6,5,110,0.8333,0.0455,0.3606,0.6394,1
-1e11,meet-in-the-middle,5,4,51,0.8,0.0784,0.3671,0.6329,1
-1e11,flows,16,14,160,0.875,0.0875,0.4025,0.5975,1
-1e11,divide and conquer,48,41,344,0.8542,0.1192,0.4132,0.5868,1
-1e11,*special,11,11,370,1.0,0.0297,0.4178,0.5822,1
-1e11,trees,132,116,934,0.8788,0.1242,0.426,0.574,1
-1e11,dfs and similar,181,153,1040,0.8453,0.1471,0.4264,0.5736,1
-1e11,graphs,182,159,1187,0.8736,0.134,0.4298,0.5702,1
-1e11,geometry,51,47,419,0.9216,0.1122,0.4359,0.5641,1
-1e11,string suffix structures,7,7,100,1.0,0.07,0.442,0.558,1
-1e11,ternary search,19,15,69,0.7895,0.2174,0.4462,0.5538,1
-1e11,shortest paths,52,46,291,0.8846,0.1581,0.4487,0.5513,1
-1e11,data structures,348,313,1974,0.8994,0.1586,0.4549,0.5451,0
-1e11,probabilities,31,30,265,0.9677,0.1132,0.455,0.545,0
-1e11,hashing,39,36,235,0.9231,0.1532,0.4611,0.5389,0
-1e11,dp,431,397,2442,0.9211,0.1626,0.466,0.534,0
-1e11,graph matchings,17,16,104,0.9412,0.1538,0.4688,0.5312,0
-1e11,dsu,85,78,405,0.9176,0.1926,0.4826,0.5174,0
-1e11,schedules,2,2,14,1.0,0.1429,0.4857,0.5143,0
-1e11,combinatorics,159,151,813,0.9497,0.1857,0.4913,0.5087,0
-1e11,interactive,74,65,278,0.8784,0.2338,0.4916,0.5084,0
-1e11,binary search,278,257,1247,0.9245,0.2061,0.4934,0.5066,0
-1e11,2-sat,10,9,40,0.9,0.225,0.495,0.505,0
-1e11,matrices,22,22,137,1.0,0.1606,0.4964,0.5036,0
-1e11,implementation,593,567,2965,0.9562,0.1912,0.4972,0.5028,0
-1e11,bitmasks,158,147,686,0.9304,0.2143,0.5007,0.4993,0
-1e11,strings,165,159,792,0.9636,0.2008,0.5059,0.4941,0
-1e11,brute force,485,446,1935,0.9196,0.2305,0.5061,0.4939,0
-1e11,two pointers,161,153,625,0.9503,0.2448,0.527,0.473,0
-1e11,math,856,819,3356,0.9568,0.244,0.5291,0.4709,0
-1e11,greedy,922,873,3429,0.9469,0.2546,0.5315,0.4685,0
-1e11,sortings,298,290,1212,0.9732,0.2393,0.5328,0.4672,0
-1e11,number theory,226,217,862,0.9602,0.2517,0.5351,0.4649,0
-1e11,constructive algorithms,585,553,2035,0.9453,0.2717,0.5412,0.4588,0
-1e11,games,68,68,287,1.0,0.2369,0.5422,0.4578,0
-1e11,chinese remainder theorem,6,6,24,1.0,0.25,0.55,0.45,0
-Armageddon-,shortest paths,1,0,291,0.0,0.0,0.0,1.0,1
-Armageddon-,geometry,2,1,419,0.5,0.0024,0.2014,0.7986,1
-Armageddon-,dfs and similar,9,6,1040,0.6667,0.0058,0.2701,0.7299,1
-Armageddon-,trees,9,6,934,0.6667,0.0064,0.2705,0.7295,1
-Armageddon-,graphs,10,7,1187,0.7,0.0059,0.2835,0.7165,1
-Armageddon-,combinatorics,10,7,813,0.7,0.0086,0.2852,0.7148,1
-Armageddon-,interactive,7,5,278,0.7143,0.018,0.2965,0.7035,1
-Armageddon-,two pointers,8,6,625,0.75,0.0096,0.3058,0.6942,1
-Armageddon-,games,4,3,287,0.75,0.0105,0.3063,0.6937,1
-Armageddon-,data structures,24,19,1974,0.7917,0.0096,0.3224,0.6776,1
-Armageddon-,dp,36,29,2442,0.8056,0.0119,0.3293,0.6707,1
-Armageddon-,constructive algorithms,28,24,2035,0.8571,0.0118,0.3499,0.6501,1
-Armageddon-,sortings,18,16,1212,0.8889,0.0132,0.3635,0.6365,1
-Armageddon-,bitmasks,10,9,686,0.9,0.0131,0.3679,0.6321,1
-Armageddon-,binary search,12,11,1247,0.9167,0.0088,0.372,0.628,1
-Armageddon-,brute force,25,23,1935,0.92,0.0119,0.3751,0.6249,1
-Armageddon-,greedy,48,45,3429,0.9375,0.0131,0.3829,0.6171,1
-Armageddon-,math,42,41,3356,0.9762,0.0122,0.3978,0.6022,1
-Armageddon-,implementation,40,39,2965,0.975,0.0132,0.3979,0.6021,1
-Armageddon-,dsu,3,3,405,1.0,0.0074,0.4044,0.5956,1
-Armageddon-,matrices,1,1,137,1.0,0.0073,0.4044,0.5956,1
-Armageddon-,fft,1,1,110,1.0,0.0091,0.4055,0.5945,1
-Armageddon-,probabilities,3,3,265,1.0,0.0113,0.4068,0.5932,1
-Armageddon-,strings,9,9,792,1.0,0.0114,0.4068,0.5932,1
-Armageddon-,number theory,14,14,862,1.0,0.0162,0.4097,0.5903,1
-Armageddon-,divide and conquer,6,6,344,1.0,0.0174,0.4105,0.5895,1
-Armageddon-,meet-in-the-middle,1,1,51,1.0,0.0196,0.4118,0.5882,1
-Armageddon-,ternary search,2,2,69,1.0,0.029,0.4174,0.5826,1
-Armageddon-,schedules,1,1,14,1.0,0.0714,0.4429,0.5571,1
-Shu-,communication,1,0,3,0.0,0.0,0.0,1.0,1
-Shu-,interactive,12,9,278,0.75,0.0324,0.3194,0.6806,1
-Shu-,trees,25,23,934,0.92,0.0246,0.3828,0.6172,1
-Shu-,geometry,15,14,419,0.9333,0.0334,0.3934,0.6066,1
-Shu-,graphs,30,29,1187,0.9667,0.0244,0.4013,0.5987,1
-Shu-,constructive algorithms,69,66,2035,0.9565,0.0324,0.4021,0.5979,1
-Shu-,hashing,1,1,235,1.0,0.0043,0.4026,0.5974,1
-Shu-,bitmasks,24,23,686,0.9583,0.0335,0.4034,0.5966,1
-Shu-,data structures,63,61,1974,0.9683,0.0309,0.4058,0.5942,1
-Shu-,implementation,62,61,2965,0.9839,0.0206,0.4059,0.5941,1
-Shu-,brute force,64,62,1935,0.9688,0.032,0.4067,0.5933,1
-Shu-,flows,2,2,160,1.0,0.0125,0.4075,0.5925,1
-Shu-,ternary search,1,1,69,1.0,0.0145,0.4087,0.5913,1
-Shu-,probabilities,4,4,265,1.0,0.0151,0.4091,0.5909,1
-Shu-,sortings,41,40,1212,0.9756,0.033,0.41,0.59,1
-Shu-,shortest paths,5,5,291,1.0,0.0172,0.4103,0.5897,1
-Shu-,math,111,109,3356,0.982,0.0325,0.4123,0.5877,1
-Shu-,games,6,6,287,1.0,0.0209,0.4125,0.5875,1
-Shu-,strings,17,17,792,1.0,0.0215,0.4129,0.5871,1
-Shu-,2-sat,1,1,40,1.0,0.025,0.415,0.585,1
-Shu-,dfs and similar,26,26,1040,1.0,0.025,0.415,0.585,1
-Shu-,dp,62,62,2442,1.0,0.0254,0.4152,0.5848,1
-Shu-,expression parsing,1,1,35,1.0,0.0286,0.4171,0.5829,1
-Shu-,greedy,134,132,3429,0.9851,0.0385,0.4171,0.5829,1
-Shu-,combinatorics,26,26,813,1.0,0.032,0.4192,0.5808,1
-Shu-,divide and conquer,11,11,344,1.0,0.032,0.4192,0.5808,1
-Shu-,binary search,41,41,1247,1.0,0.0329,0.4197,0.5803,1
-Shu-,dsu,14,14,405,1.0,0.0346,0.4207,0.5793,1
-Shu-,number theory,31,31,862,1.0,0.036,0.4216,0.5784,1
-Shu-,fft,4,4,110,1.0,0.0364,0.4218,0.5782,1
-Shu-,graph matchings,4,4,104,1.0,0.0385,0.4231,0.5769,1
-Shu-,chinese remainder theorem,1,1,24,1.0,0.0417,0.425,0.575,1
-Shu-,two pointers,27,27,625,1.0,0.0432,0.4259,0.5741,1
-Shu-,matrices,6,6,137,1.0,0.0438,0.4263,0.5737,1
-firefly-,hashing,17,13,235,0.7647,0.0553,0.3391,0.6609,1
-firefly-,flows,6,5,160,0.8333,0.0312,0.3521,0.6479,1
-firefly-,string suffix structures,6,5,100,0.8333,0.05,0.3633,0.6367,1
-firefly-,geometry,21,18,419,0.8571,0.043,0.3686,0.6314,1
-firefly-,*special,2,2,370,1.0,0.0054,0.4032,0.5968,1
-firefly-,trees,78,70,934,0.8974,0.0749,0.4039,0.5961,1
-firefly-,graph matchings,10,9,104,0.9,0.0865,0.4119,0.5881,1
-firefly-,dfs and similar,105,96,1040,0.9143,0.0923,0.4211,0.5789,1
-firefly-,fft,4,4,110,1.0,0.0364,0.4218,0.5782,1
-firefly-,meet-in-the-middle,2,2,51,1.0,0.0392,0.4235,0.5765,1
-firefly-,probabilities,12,12,265,1.0,0.0453,0.4272,0.5728,1
-firefly-,2-sat,2,2,40,1.0,0.05,0.43,0.57,1
-firefly-,data structures,219,203,1974,0.9269,0.1028,0.4325,0.5675,1
-firefly-,dp,228,217,2442,0.9518,0.0889,0.434,0.566,1
-firefly-,expression parsing,2,2,35,1.0,0.0571,0.4343,0.5657,1
-firefly-,graphs,103,99,1187,0.9612,0.0834,0.4345,0.5655,1
