problem_id,rating,tags
1253-A,1000,implementation
1969-A,800,"constructivealgorithms,implementation,math"
1985-A,800,"implementation,strings"
1985-B,800,"bruteforce,math,numbertheory"
1985-C,1000,greedy
1985-D,900,"implementation,math"
1987-A,800,"greedy,math"
1987-B,1000,greedy
2000-A,800,"implementation,math,strings"
2000-B,800,twopointers
2021-A,800,"datastructures,greedy,math,sortings"
2112-A,800,"implementation,math"
2112-B,1100,"bruteforce,greedy"
2121-A,800,"bruteforce,math"
2121-B,800,"constructivealgorithms,greedy,strings"
2121-C,1200,"greedy,implementation"
2121-D,1300,"implementation,sortings"
