user,rating_bucket,attempts,solved,solve_rate,user_avg_rating,target_bucket,target
-1e11,800,452,450,0.9956,1493.57,1400,0
-1e11,1000,193,191,0.9896,1493.57,1400,0
-1e11,1200,212,210,0.9906,1493.57,1400,0
-1e11,1400,230,225,0.9783,1493.57,1400,1
-1e11,1600,228,221,0.9693,1493.57,1400,0
-1e11,1800,224,212,0.9464,1493.57,1400,0
-1e11,2000,176,163,0.9261,1493.57,1400,0
-1e11,2200,146,123,0.8425,1493.57,1400,0
-1e11,2400,117,100,0.8547,1493.57,1400,0
-1e11,2600,42,28,0.6667,1493.57,1400,0
-1e11,2800,21,12,0.5714,1493.57,1400,0
-1e11,3000,8,2,0.25,1493.57,1400,0
-1e11,3200,6,5,0.8333,1493.57,1400,0
-1e11,3400,1,1,1.0,1493.57,1400,0
-Armageddon-,800,22,22,1.0,1490.29,1400,0
-Armageddon-,1000,13,13,1.0,1490.29,1400,0
-Armageddon-,1200,13,13,1.0,1490.29,1400,0
-Armageddon-,1400,9,8,0.8889,1490.29,1400,1
-Armageddon-,1600,13,13,1.0,1490.29,1400,0
-Armageddon-,1800,11,10,0.9091,1490.29,1400,0
-Armageddon-,2000,7,7,1.0,1490.29,1400,0
-Armageddon-,2200,11,8,0.7273,1490.29,1400,0
-Armageddon-,2400,7,7,1.0,1490.29,1400,0
-Armageddon-,2600,5,1,0.2,1490.29,1400,0
-Armageddon-,2800,2,1,0.5,1490.29,1400,0
-Armageddon-,3200,2,0,0.0,1490.29,1400,0
-Armageddon-,3400,1,0,0.0,1490.29,1400,0
-Shu-,800,50,50,1.0,1611.52,1600,0
-Shu-,1000,24,23,0.9583,1611.52,1600,0
-Shu-,1200,37,37,1.0,1611.52,1600,0
-Shu-,1400,23,23,1.0,1611.52,1600,0
-Shu-,1600,28,28,1.0,1611.52,1600,1
-Shu-,1800,31,31,1.0,1611.52,1600,0
-Shu-,2000,17,16,0.9412,1611.52,1600,0
-Shu-,2200,30,27,0.9,1611.52,1600,0
-Shu-,2400,15,15,1.0,1611.52,1600,0
-Shu-,2600,6,6,1.0,1611.52,1600,0
-Shu-,2800,8,8,1.0,1611.52,1600,0
-Shu-,3000,3,3,1.0,1611.52,1600,0
-Shu-,3200,2,2,1.0,1611.52,1600,0
-firefly-,800,240,238,0.9917,1475.98,1400,0
-firefly-,1000,104,104,1.0,1475.98,1400,0
-firefly-,1200,109,107,0.9817,1475.98,1400,0
-firefly-,1400,108,105,0.9722,1475.98,1400,1
-firefly-,1600,125,124,0.992,1475.98,1400,0
-firefly-,1800,138,133,0.9638,1475.98,1400,0
-firefly-,2000,94,87,0.9255,1475.98,1400,0
-firefly-,2200,86,80,0.9302,1475.98,1400,0
-firefly-,2400,36,30,0.8333,1475.98,1400,0
-firefly-,2600,10,7,0.7,1475.98,1400,0
-firefly-,2800,5,3,0.6,1475.98,1400,0
-firefly-,3000,1,1,1.0,1475.98,1400,0
-firefly-,3200,1,1,1.0,1475.98,1400,0
0.1w33hw3,800,109,107,0.9817,1821.81,1800,0
0.1w33hw3,1000,44,42,0.9545,1821.81,1800,0
0.1w33hw3,1200,49,48,0.9796,1821.81,1800,0
0.1w33hw3,1400,55,53,0.9636,1821.81,1800,0
0.1w33hw3,1600,59,57,0.9661,1821.81,1800,0
0.1w33hw3,1800,56,55,0.9821,1821.81,1800,1
0.1w33hw3,2000,55,55,1.0,1821.81,1800,0
0.1w33hw3,2200,62,60,0.9677,1821.81,1800,0
0.1w33hw3,2400,65,63,0.9692,1821.81,1800,0
0.1w33hw3,2600,42,42,1.0,1821.81,1800,0
0.1w33hw3,2800,35,34,0.9714,1821.81,1800,0
0.1w33hw3,3000,23,23,1.0,1821.81,1800,0
0.1w33hw3,3200,9,7,0.7778,1821.81,1800,0
0.1w33hw3,3400,6,5,0.8333,1821.81,1800,0
08kevin,800,76,75,0.9868,1594.76,1400,0
08kevin,1000,31,31,1.0,1594.76,1400,0
08kevin,1200,26,26,1.0,1594.76,1400,0
08kevin,1400,19,19,1.0,1594.76,1400,1
08kevin,1600,25,25,1.0,1594.76,1400,0
08kevin,1800,26,25,0.9615,1594.76,1400,0
08kevin,2000,21,20,0.9524,1594.76,1400,0
08kevin,2200,16,15,0.9375,1594.76,1400,0
08kevin,2400,21,16,0.7619,1594.76,1400,0
08kevin,2600,9,9,1.0,1594.76,1400,0
08kevin,2800,11,9,0.8182,1594.76,1400,0
08kevin,3000,9,7,0.7778,1594.76,1400,0
08kevin,3200,3,3,1.0,1594.76,1400,0
08kevin,3400,6,6,1.0,1594.76,1400,0
0htoAi,800,83,83,1.0,1465.08,1400,0
0htoAi,1000,32,32,1.0,1465.08,1400,0
0htoAi,1200,37,37,1.0,1465.08,1400,0
0htoAi,1400,28,27,0.9643,1465.08,1400,1
0htoAi,1600,30,30,1.0,1465.08,1400,0
0htoAi,1800,46,43,0.9348,1465.08,1400,0
0htoAi,2000,28,23,0.8214,1465.08,1400,0
0htoAi,2200,18,16,0.8889,1465.08,1400,0
0htoAi,2400,14,11,0.7857,1465.08,1400,0
0htoAi,2600,7,5,0.7143,1465.08,1400,0
0htoAi,2800,7,7,1.0,1465.08,1400,0
0htoAi,3000,2,1,0.5,1465.08,1400,0
0wuming0,800,304,304,1.0,1765.61,1600,0
0wuming0,1000,184,184,1.0,1765.61,1600,0
0wuming0,1200,172,172,1.0,1765.61,1600,0
0wuming0,1400,183,183,1.0,1765.61,1600,0
0wuming0,1600,211,211,1.0,1765.61,1600,1
0wuming0,1800,214,214,1.0,1765.61,1600,0
0wuming0,2000,218,218,1.0,1765.61,1600,0
0wuming0,2200,216,216,1.0,1765.61,1600,0
0wuming0,2400,195,195,1.0,1765.61,1600,0
0wuming0,2600,110,110,1.0,1765.61,1600,0
0wuming0,2800,67,67,1.0,1765.61,1600,0
0wuming0,3000,42,42,1.0,1765.61,1600,0
0wuming0,3200,21,21,1.0,1765.61,1600,0
0wuming0,3400,9,9,1.0,1765.61,1600,0
0x0c5cbae8,800,60,60,1.0,1630.61,1600,0
0x0c5cbae8,1000,36,36,1.0,1630.61,1600,0
0x0c5cbae8,1200,32,32,1.0,1630.61,1600,0
0x0c5cbae8,1400,35,35,1.0,1630.61,1600,0
0x0c5cbae8,1600,51,51,1.0,1630.61,1600,1
0x0c5cbae8,1800,47,46,0.9787,1630.61,1600,0
0x0c5cbae8,2000,40,39,0.975,1630.61,1600,0
0x0c5cbae8,2200,41,41,1.0,1630.61,1600,0
0x0c5cbae8,2400,27,24,0.8889,1630.61,1600,0
0x0c5cbae8,2600,11,11,1.0,1630.61,1600,0
0x0c5cbae8,2800,4,4,1.0,1630.61,1600,0
111445,800,30,30,1.0,1711.76,1600,0
111445,1000,15,15,1.0,1711.76,1600,0
111445,1200,21,21,1.0,1711.76,1600,0
111445,1400,13,13,1.0,1711.76,1600,0
111445,1600,11,11,1.0,1711.76,1600,1
111445,1800,16,16,1.0,1711.76,1600,0
111445,2000,16,16,1.0,1711.76,1600,0
111445,2200,9,9,1.0,1711.76,1600,0
111445,2400,16,16,1.0,1711.76,1600,0
111445,2600,11,10,0.9091,1711.76,1600,0
111445,2800,12,9,0.75,1711.76,1600,0
111445,3000,4,3,0.75,1711.76,1600,0
111445,3200,2,1,0.5,1711.76,1600,0
1225Xia,800,32,32,1.0,1941.57,1800,0
