user,solved,attempts,solve_rate,avg_attempts,avg_problem_rating,max_problem_rating,rating,max_rating
-1e11,1943,3442,0.5644973852411389,1.7714873906330417,1493,3400,2127,2404
-Armageddon-,103,261,0.3946360153256705,2.533980582524272,1490,2800,2398,2549
-Shu-,269,483,0.556935817805383,1.795539033457249,1611,3300,2443,2443
-firefly-,1020,1912,0.5334728033472803,1.8745098039215686,1475,3200,2315,2342
0.1w33hw3,651,1278,0.5093896713615024,1.9631336405529953,1821,3500,2904,2904
08kevin,286,659,0.4339908952959029,2.304195804195804,1594,3500,2572,2657
0htoAi,315,722,0.4362880886426593,2.292063492063492,1465,3100,1848,2176
0wuming0,2146,3406,0.630064591896653,1.587138863000932,1765,3500,2286,2724
0x0c5cbae8,379,605,0.6264462809917355,1.596306068601583,1630,2900,2324,2324
1225Xia,166,610,0.2721311475409836,3.674698795180723,1941,3500,2015,2279
2026_revenger,77,130,0.5923076923076923,1.6883116883116882,1531,2700,2097,2097
24Records,82,148,0.5540540540540541,1.8048780487804879,1257,2300,2132,2132
2sqrt3,22,35,0.6285714285714286,1.5909090909090908,1490,2600,2258,2258
300iq,1422,4898,0.2903225806451613,3.4444444444444446,1640,3500,2696,3317
36champ,2372,4223,0.5616860052095667,1.78035413153457,1443,3300,2359,2590
79brue,501,1110,0.45135135135135135,2.215568862275449,1623,3200,2612,2809
8Conan8,371,625,0.5936,1.6846361185983827,1697,3400,2322,2406
A.D.,1391,3596,0.3868186874304783,2.5851905104241553,1489,3100,2074,2226
A10ne,34,45,0.7555555555555555,1.3235294117647058,1688,2700,2522,2522
AA-2007,272,419,0.649164677804296,1.5404411764705883,1838,3500,2623,2623
AAhaoxuan,276,745,0.3704697986577181,2.699275362318841,1663,3500,2106,2246
AIGAL30H7WM97CI,466,1148,0.4059233449477352,2.463519313304721,1602,3100,2089,2104
AKSLEGION,769,1705,0.45102639296187685,2.2171651495448637,1346,2700,2134,2171
ALAov,668,1370,0.48759124087591244,2.0508982035928143,1521,3300,1983,2232
ALPHAwule,133,389,0.34190231362467866,2.924812030075188,1319,3100,1823,2071
A_G,3326,6261,0.5312250439226961,1.8824413710162358,1826,3500,2625,3279
Acheronlt,74,137,0.5401459854014599,1.8513513513513513,2147,3500,2553,2572
AdamAlt,61,210,0.2904761904761905,3.442622950819672,1411,3000,2303,2303
Adam_GS,1839,3217,0.5716506061548026,1.7493202827623708,1471,3500,2936,3040
Adrian_B,139,322,0.43167701863354035,2.316546762589928,1522,2600,2078,2173
Aegleseekers,136,199,0.6834170854271356,1.463235294117647,1362,2600,1831,2157
Aestivate,1903,4476,0.4251563896336014,2.352075669994745,1474,3100,2196,2349
Aink,210,461,0.455531453362256,2.1952380952380954,1328,3000,2205,2205
AkramElOmrani,1405,3196,0.43961201501877345,2.2747330960854093,1417,3100,2139,2139
Akulyat,2699,7685,0.35120364346128824,2.8473508706928494,1628,3500,2317,2702
Aldk,1916,3833,0.4998695538742499,2.0005219206680587,1450,3500,2298,2449
AlesL0,380,981,0.3873598369011213,2.581578947368421,1349,2700,2140,2164
AlexSkv,88,221,0.39819004524886875,2.5113636363636362,1217,2300,2069,2069
Alexanderter10,462,1172,0.39419795221843,2.536796536796537,1240,3500,1935,2111
Alwoosh,1371,3452,0.39716106604866747,2.5178701677607584,1416,3500,2103,2103
AmShZ,1475,4266,0.3457571495546179,2.8922033898305086,1882,3500,2519,2723
Amit-S-Sahu,123,168,0.7321428571428571,1.3658536585365855,1104,3300,2149,2261
Andimeo,1075,2650,0.4056603773584906,2.4651162790697674,1446,2800,2170,2170
Andreasyan,4337,9696,0.44729785478547857,2.2356467604334793,1839,3500,2542,2702
Andrew-13,661,1509,0.43803843605036447,2.2829046898638428,1592,3300,2233,2320
Andwerp,1691,3731,0.4532296971321362,2.2063867534003547,1582,3100,2206,2257
Anemone_,2116,3597,0.5882680011120378,1.699905482041588,1511,3500,1983,2139
AngelOlan,948,1760,0.5386363636363637,1.8565400843881856,1473,2900,2078,2078
AngryKid,89,200,0.445,2.247191011235955,1200,2300,2038,2136
Anhdung147,362,845,0.4284023668639053,2.334254143646409,1562,3200,2167,2250
Anoth3r,236,603,0.3913764510779436,2.555084745762712,1401,2700,2312,2317
AntiBsayer,3607,8923,0.40423624341589154,2.4738009426115886,1682,3500,2345,2676
Antiamuny,178,416,0.42788461538461536,2.337078651685393,1435,2800,2331,2563
Aotsuki,351,731,0.4801641586867305,2.0826210826210825,1712,3300,2462,2559
AphelIO,678,1223,0.5543744889615699,1.803834808259587,1491,2700,2108,2108
ApraCadabra,2654,5683,0.4670068625725849,2.1412961567445365,1665,3400,2139,2402
Arnav_Singhal1,1853,4137,0.4479091128837322,2.232595790609822,1641,3200,2326,2363
ArsenGotov,1053,2724,0.3865638766519824,2.5868945868945867,1532,3400,2082,2315
Art.ogo,784,1873,0.41857981847303793,2.389030612244898,1428,3000,2128,2425
Arterm,947,1962,0.48267074413863403,2.071805702217529,1818,3500,2228,2859
Arxyj,134,247,0.5425101214574899,1.8432835820895523,1334,2600,2253,2362
AshenWitch,150,308,0.487012987012987,2.0533333333333332,1498,3500,2443,2443
Auchenai01,1236,2838,0.4355179704016913,2.296116504854369,1705,3500,2250,2311
Autocrat2005,221,514,0.42996108949416345,2.32579185520362,1470,3500,2369,2369
Ayush79,71,97,0.7319587628865979,1.3661971830985915,1397,2700,2103,2138
BakaC1rn0,37,54,0.6851851851851852,1.4594594594594594,1362,2300,2138,2138
Baraa-Ahmed,1621,4331,0.37427845763103207,2.671807526218384,1380,3200,2121,2159
BasicTH,317,607,0.5222405271828665,1.914826498422713,1152,2300,2115,2199
Baskot,917,2535,0.36173570019723866,2.7644492911668483,1604,2900,2454,2454
BennyLaw,251,517,0.48549323017408125,2.0597609561752988,1098,3000,2152,2152
BestCrazyNoob,115,267,0.4307116104868914,2.3217391304347825,1549,2900,1886,2044
Betwixt,42,139,0.302158273381295,3.3095238095238093,1578,3500,2430,2430
BiggestOtaku,1115,2096,0.5319656488549618,1.8798206278026905,1711,3100,2092,2294
Billlly,329,706,0.4660056657223796,2.1458966565349544,1494,3500,2159,2224
Binary-grid-colouring,526,1130,0.4654867256637168,2.1482889733840302,1575,2900,2529,2529
