user,rating_bucket,attempts,solved,solve_rate,expected_rate,performance_ratio,avg_rating,mastery,skill_score,weakness_score,is_weak
-1e11,1400,1210,792,0.6545,0.7,0.9351,1449.37,6.6758,6.3332,0.042,0
-1e11,1200,832,622,0.7476,0.78,0.9585,1253.22,6.4345,6.0285,0.0293,0
-1e11,1000,644,530,0.823,0.85,0.9682,1054.91,6.2748,5.4475,0.024,0
-1e11,800,1129,989,0.876,0.9,0.9733,820.22,6.8977,4.9561,0.0214,0
-1e11,2200,1600,529,0.3306,0.35,0.9446,2238.19,6.2729,4.6419,0.0197,0
-1e11,1600,1357,789,0.5814,0.6,0.969,1654.25,6.672,6.4173,0.0175,0
-1e11,2600,426,90,0.2113,0.22,0.9603,2635.56,4.5109,2.5117,0.0096,0
-1e11,1800,1531,838,0.5474,0.5,1.0947,1853.22,6.7322,6.829,0.0,0
-1e11,2000,1444,641,0.4439,0.42,1.0569,2044.46,6.4646,5.8669,0.0,0
-1e11,2400,1410,415,0.2943,0.28,1.0512,2440.72,6.0307,4.3323,0.0,0
-1e11,2800,195,44,0.2256,0.16,1.4103,2847.73,3.8067,2.446,0.0,0
-1e11,3000,66,8,0.1212,0.11,1.1019,3075.0,2.1972,0.819,0.0,0
-1e11,3200,17,11,0.6471,0.07,2.0,3263.64,2.4849,5.2475,0.0,0
-1e11,3400,15,3,0.2,0.04,2.0,3400.0,1.3863,0.9427,0.0,0
-Armageddon-,1000,64,36,0.5625,0.85,0.6618,1050.0,3.6109,2.1327,0.2603,1
-Armageddon-,1400,61,29,0.4754,0.7,0.6792,1413.79,3.4012,2.2861,0.2106,1
-Armageddon-,3200,18,0,0.0,0.07,0.0,3200.0,0.0,0.0,0.2061,0
-Armageddon-,2200,171,33,0.193,0.35,0.5514,2239.39,3.5264,1.524,0.1786,1
-Armageddon-,1800,110,36,0.3273,0.5,0.6545,1855.56,3.6109,2.1928,0.1764,1
-Armageddon-,2400,178,29,0.1629,0.28,0.5819,2400.0,3.4012,1.3299,0.138,1
-Armageddon-,2000,83,25,0.3012,0.42,0.7172,2028.0,3.2581,1.9902,0.1236,1
-Armageddon-,1200,53,35,0.6604,0.78,0.8466,1260.0,3.5835,2.9818,0.1041,0
-Armageddon-,2600,35,5,0.1429,0.22,0.6494,2600.0,1.7918,0.6655,0.099,1
-Armageddon-,3400,4,0,0.0,0.04,0.0,3400.0,0.0,0.0,0.0644,0
-Armageddon-,800,65,55,0.8462,0.9,0.9402,829.09,4.0254,2.8239,0.0449,0
-Armageddon-,1600,74,46,0.6216,0.6,1.036,1636.96,3.8501,3.9178,0.0,0
-Armageddon-,2800,25,10,0.4,0.16,2.0,2800.0,2.3979,2.6856,0.0,0
-Shu-,1400,159,85,0.5346,0.7,0.7637,1442.35,4.4543,3.4346,0.1539,0
-Shu-,1200,177,112,0.6328,0.78,0.8112,1261.61,4.7274,3.7739,0.1332,0
-Shu-,1000,81,58,0.716,0.85,0.8424,1065.52,4.0775,3.111,0.1163,0
-Shu-,1600,219,108,0.4932,0.6,0.8219,1669.44,4.6913,3.8623,0.1013,0
-Shu-,800,133,114,0.8571,0.9,0.9524,818.42,4.7449,3.3286,0.0365,0
-Shu-,1800,190,115,0.6053,0.5,1.2105,1869.57,4.7536,5.3791,0.0,0
-Shu-,2000,124,66,0.5323,0.42,1.2673,2051.52,4.2047,4.5913,0.0,0
-Shu-,2200,314,128,0.4076,0.35,1.1647,2236.72,4.8598,4.4311,0.0,0
-Shu-,2400,226,72,0.3186,0.28,1.1378,2468.06,4.2905,3.3735,0.0,0
-Shu-,2600,60,19,0.3167,0.22,1.4394,2647.37,2.9957,2.5114,0.0,0
-Shu-,2800,57,26,0.4561,0.16,2.0,2830.77,3.2958,4.2557,0.0,0
-Shu-,3000,18,12,0.6667,0.11,2.0,3000.0,2.5649,5.1299,0.0,0
-Shu-,3200,6,6,1.0,0.07,2.0,3266.67,1.9459,6.3566,0.0,0
-firefly-,1400,687,362,0.5269,0.7,0.7528,1451.66,5.8944,4.5087,0.164,0
-firefly-,1200,474,337,0.711,0.78,0.9115,1253.71,5.823,5.1904,0.0624,0
-firefly-,2000,992,355,0.3579,0.42,0.8521,2059.44,5.8749,4.3298,0.0624,0
-firefly-,1600,811,436,0.5376,0.6,0.896,1652.29,6.0799,5.4007,0.059,0
-firefly-,800,660,562,0.8515,0.9,0.9461,818.86,6.3333,4.416,0.0429,0
-firefly-,1800,1139,526,0.4618,0.5,0.9236,1856.08,6.2672,5.372,0.037,0
-firefly-,1000,361,297,0.8227,0.85,0.9679,1061.95,5.6971,4.9775,0.024,0
-firefly-,2200,1061,389,0.3666,0.35,1.0475,2234.19,5.9661,4.8871,0.0,0
-firefly-,2400,442,132,0.2986,0.28,1.0666,2441.67,4.8903,3.566,0.0,0
-firefly-,2600,72,28,0.3889,0.22,1.7677,2621.43,3.3673,3.4328,0.0,0
-firefly-,2800,82,16,0.1951,0.16,1.2195,2837.5,2.8332,1.5686,0.0,0
-firefly-,3000,30,6,0.2,0.11,1.8182,3000.0,1.9459,1.1675,0.0,0
-firefly-,3200,3,3,1.0,0.07,2.0,3200.0,1.3863,4.4361,0.0,0
0.1w33hw3,800,395,246,0.6228,0.9,0.692,817.07,5.5094,2.8035,0.2547,1
0.1w33hw3,1200,231,151,0.6537,0.78,0.8381,1238.41,5.0239,4.067,0.1142,0
0.1w33hw3,1000,152,112,0.7368,0.85,0.8669,1056.25,4.7274,3.6793,0.0994,0
